Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
MSI KATANA GF66 12UC INTEL I7 12700H 8GB 512GB RTX3050-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050,SSD,Intel Core i7,512GB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp15.599.000
MSI KATANA GF66 12UC INTEL I7 12700H 16GB 512GB RTX3050-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050,SSD,Intel Core i7,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp16.099.000
MSI KATANA 15 B13VEK INTEL I7 13620H 16GB DDR5 1TB SSD RTX4060-8GB 15.6 FHD IPS 144HZ 4ZONE RGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4060,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp21.999.000
MSI KATANA 15 B13VEK INTEL I7 13620H 16GB DDR5 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ 4ZONE RGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp19.899.000
MSI GS77 STEALH 12UHS INTEL I9 12900H 32GB 2TB SSD RTX3080TI-16GB 17.3 QHD 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,Intel Core i9,2TB,17 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp64.999.000
MSI GS66 STEALTH INTEL I9 12900H 32GB DDR5 2TB SSD RTX3070TI-8GB 15.6 QHD IPS 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,DISTRIBUTOR 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,Intel Core i9,2TB,16 Inch,Black,32GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp26.499.000
MSI GS66 STEALTH INTEL I9 12900H 32GB DDR5 1TB SSD RTX3070TI-8GB 15.6 QHD IPS 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,DISTRIBUTOR 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,Intel Core i9,1TB,15 Inch,Black,32GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp25.299.000
MSI GS66 STEALH 12UHS INTEL I9 12900H 32GB 2TB SSD RTX3080TI-16GB 15.6 QHD 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,Intel Core i9,2TB,16 Inch,Black,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp59.999.000
MSI GS66 STEALH 12UGS INTEL I9 12900H 32GB 1TB SSD RTX3070TI-8GB 15.6 QHD 240HZ PKRGB WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,Intel Core i9,1TB,16 Inch,Black,8GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp42.999.000
MSI GL66 PULSE 12UEK INTEL I9 12900H 16GB 1TB SSD RTX3060-6GB 15.6 FHD IPS 165HZ RGB WIN11HOME GREY,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3060,SSD,Intel Core i9,1TB,16 Inch,Grey,16GB,,,Windows 11 Home,MSI,Non Touchscreen,Rp25.499.000
